Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
1927;Ethan Nwaneri;ENG;FW,MF;Arsenal; Premier League;17;2007;26;11;895;9.9;4;2;6;4;0;0;1;0;1.2;1.2;1.2;2.4;46;33;113;0.40;0.20;0.60;0.40;0.60;0.12;0.12;0.24;0.12;0.24;24;9;37.5;2.41;0.91;0.17;0.44;18.5;1;0;0;1.2;1.2;0.05;+2.8;+2.8;342;425;80.5;4906;1216;216;234;92.3;93;121;76.9;19;37;51.4;2;1.2;1.8;+0.8;16;17;16;6;33;29;2.91;15;6;5;2;1;0;3;0.30;3;0;0;0;0;0;11;7;4;4;3;7;21;33.3;14;8;2;6;2;13;4;1;544;3;44;167;339;44;544;62;37;59.7;19;30.6;365;2852;1329;46;25;17;23;17;398;113;1;0;0;9;5;6;54;2;7;0;0;0;34;4;8;33.3
1930;Rabby Nzingoula;CGO;MF;Montpellier;Ligue 1;18;2005;27;20;1,689;18.8;1;0;1;1;0;0;11;0;1.0;1.0;1.6;2.6;25;40;38;0.05;0.00;0.05;0.05;0.05;0.06;0.09;0.14;0.06;0.14;19;6;31.6;1.01;0.32;0.05;0.17;20.7;0;0;0;1.0;1.0;0.06;0.0;0.0;454;592;76.7;7468;1487;232;270;85.9;180;217;82.9;32;55;58.2;0;1.6;1.2;-1.6;8;32;6;0;40;35;1.92;22;0;2;1;6;4;0;0.00;0;0;0;0;0;0;64;42;26;31;7;27;58;46.6;31;27;5;22;29;93;23;0;850;38;238;429;206;23;850;52;25;48.1;22;42.3;454;2589;1138;25;30;6;33;23;503;38;11;0;0;37;43;2;16;29;42;0;0;0;99;17;20;45.9
1932;Marwann Nzuzi;FRA;DF;Saint-Étienne;Ligue 1;20;2004;2;2;125;1.4;0;0;0;0;0;0;2;0;0.0;0.0;0.1;0.1;2;2;5;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.08;0.02;0.08;2;1;50.0;1.44;0.72;0.00;0.00;24.9;0;0;0;0.0;0.0;0.02;0.0;0.0;46;55;83.6;707;322;21;22;95.5;20;26;76.9;2;3;66.7;0;0.1;0.1;-0.1;1;3;1;1;2;1;0.72;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;2;1;0;1;1;2;50.0;1;0;0;0;2;4;6;0;72;3;31;28;13;0;72;2;0;0.0;2;100.0;34;142;59;2;1;0;3;2;40;5;2;0;0;2;1;0;1;2;2;0;0;0;3;2;1;66.7
1938;Chidozie Obi-Martin;DEN;FW;Manchester Utd; Premier League;16;2007;7;1;165;1.8;0;0;0;0;0;0;1;0;0.7;0.7;0.0;0.7;2;1;12;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.36;0.36;0.36;5;1;20.0;2.73;0.55;0.00;0.00;10.7;0;0;0;0.7;0.7;0.13;-0.7;-0.7;20;24;83.3;259;49;10;11;90.9;7;9;77.8;1;2;50.0;0;0.0;0.0;0.0;0;1;0;0;1;2;1.09;0;0;1;1;0;0;0;0.00;0;0;0;0;0;0;2;1;0;0;2;2;2;100.0;0;0;0;0;0;2;1;0;47;3;6;21;20;9;47;3;1;33.3;2;66.7;22;114;50;2;0;1;5;1;29;12;1;0;0;3;1;0;0;0;1;0;0;0;9;2;4;33.3
1942;Wilson Odobert;FRA;FW,MF;Tottenham; Premier League;19;2004;16;9;850;9.4;1;0;1;1;0;0;0;0;1.6;1.6;1.0;2.6;45;27;66;0.11;0.00;0.11;0.11;0.11;0.17;0.10;0.27;0.17;0.27;13;4;30.8;1.38;0.42;0.08;0.25;16.4;0;0;0;1.6;1.6;0.12;-0.6;-0.6;212;274;77.4;2878;567;139;150;92.7;54;73;74.0;8;12;66.7;0;1.0;0.8;-1.0;6;11;12;3;27;16;1.70;14;0;0;2;0;0;1;0.11;1;0;0;0;0;0;14;5;5;4;5;8;14;57.1;6;6;0;6;4;18;5;1;381;7;46;142;197;35;381;32;12;37.5;17;53.1;265;1949;1146;45;25;18;21;17;273;66;0;0;0;2;3;1;25;4;5;0;0;0;34;4;8;33.3
1943;David Odogu;GER;DF;Wolfsburg;Bundesliga;18;2006;3;2;195;2.2;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;1;8;0;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.10;0.10;0.10;2;0;0.0;0.92;0.00;0.00;;8.8;0;0;0;0.2;0.2;0.11;-0.2;-0.2;87;99;87.9;1800;625;26;29;89.7;50;54;92.6;11;16;68.8;0;0.0;0.0;0.0;0;6;1;0;8;1;0.46;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;6;4;4;2;0;3;5;60.0;2;2;2;0;2;8;25;1;143;20;78;62;3;3;143;0;0;;0;;78;412;177;1;0;0;1;0;79;0;0;0;0;2;0;1;0;2;4;0;0;0;4;9;3;75.0
1947;Ifechukwu Ogbus;SUI;DF;Freiburg;Bundesliga;18;2005;2;0;19;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;6;10;60.0;98;26;3;3;100.0;3;7;42.9;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;0;0;1;0;1;0.0;1;0;0;0;1;2;2;0;15;1;7;4;4;0;15;0;0;;0;;4;8;2;0;0;0;1;0;3;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;
1956;Aingeru Olabarrieta;ESP;FW;Athletic Club;La Liga;18;2005;1;1;54;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;1;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;9;18;50.0;114;24;6;10;60.0;2;3;66.7;0;2;0.0;0;0.0;0.0;0.0;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2;0;2;1;1;1;0;25;1;2;11;13;0;25;4;1;25.0;3;75.0;15;106;59;2;2;0;0;1;18;3;0;0;0;1;0;0;4;1;0;0;0;0;4;1;0;100.0
1983;Victor Orakpo;NGA;FW;Nice;Ligue 1;18;2006;4;0;36;0.4;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;2;1;4;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.81;0.81;0.81;2;0;0.0;5.00;0.00;0.00;;10.4;0;0;0;0.3;0.3;0.16;-0.3;-0.3;15;17;88.2;218;43;10;11;90.9;4;4;100.0;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;1;1;2.50;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;21;0;2;10;9;3;21;2;2;100.0;0;0.0;14;83;57;2;1;1;1;0;18;4;0;0;0;0;2;1;0;0;0;0;0;0;3;1;4;20.0
1984;Ike Orazi;IRL;MF;Reims;Ligue 1;17;2007;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;1;100.0;11;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;1;0;0.0;1;100.0;2;21;19;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1989;Lewis Orford;ENG;MF;West Ham; Premier League;18;2006;2;0;49;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.05;0.04;0.09;0.05;0.09;1;0;0.0;1.84;0.00;0.00;;12.7;0;0;0;0.0;0.0;0.03;0.0;0.0;33;38;86.8;583;83;11;13;84.6;18;20;90.0;2;3;66.7;0;0.0;0.0;0.0;2;2;1;1;0;2;3.67;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;1;1;1;0;0;42;1;8;28;7;2;42;0;0;;0;;22;98;27;0;0;0;1;0;31;1;0;0;0;0;0;0;1;1;0;0;0;0;7;0;1;0.0
1994;Ángel Ortíz;ESP;DF;Betis;La Liga;20;2004;5;4;353;3.9;0;1;1;0;0;0;0;0;0.0;0.0;0.1;0.2;4;15;20;0.00;0.25;0.25;0.00;0.25;0.01;0.03;0.04;0.01;0.04;2;0;0.0;0.51;0.00;0.00;;23.0;0;0;0;0.0;0.0;0.02;0.0;0.0;167;225;74.2;2516;1084;91;101;90.1;65;89;73.0;7;21;33.3;1;0.1;0.2;+0.9;3;15;3;2;15;6;1.53;5;0;0;0;1;0;2;0.51;2;0;0;0;0;0;12;8;8;3;1;8;17;47.1;9;6;0;6;5;17;7;0;272;7;96;114;64;7;272;8;4;50.0;4;50.0;133;669;375;4;3;1;7;2;153;20;0;0;0;6;6;0;19;5;8;0;0;0;16;5;7;41.7
1995;Gabriel Osei Misehouy;NED;FW,MF;Girona;La Liga;19;2005;9;1;257;2.9;1;0;1;1;0;0;0;0;0.9;0.9;0.3;1.2;5;15;22;0.35;0.00;0.35;0.35;0.35;0.31;0.09;0.41;0.31;0.41;6;2;33.3;2.10;0.70;0.17;0.50;17.2;0;0;0;0.9;0.9;0.15;+0.1;+0.1;90;103;87.4;1327;247;50;53;94.3;39;41;95.1;0;8;0.0;0;0.3;0.3;-0.3;4;11;4;0;15;6;2.10;5;0;0;0;1;0;0;0.00;0;0;0;0;0;0;1;1;0;1;0;0;1;0.0;1;0;0;0;0;1;0;0;128;1;5;61;64;7;128;11;7;63.6;4;36.4;100;599;228;5;5;0;7;7;107;22;0;0;0;1;5;2;6;0;1;0;0;0;11;0;3;0.0
2000;Jibril Othman;TUN;FW;Saint-Étienne;Ligue 1;20;2004;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;1;100.0;10;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2001;Sebastian Otoa;DEN;DF;Genoa;Serie A;20;2004;3;3;179;2.0;0;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;56;64;87.5;1121;241;17;20;85.0;32;35;91.4;7;8;87.5;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;0;1;0;0;1;2;50.0;1;1;1;0;3;4;14;0;88;16;56;31;1;0;88;0;0;;0;;49;147;36;0;0;0;2;1;48;0;1;1;0;5;0;0;0;3;0;0;0;0;5;6;3;66.7
2002;David Otorbi;ESP;MF;Valencia;La Liga;16;2007;1;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;2;4;50.0;27;4;2;3;66.7;0;0;;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;1;0;0;0;0;6;0;0;4;2;0;6;2;0;0.0;0;0.0;3;24;13;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004;Guimissongui Ouattara;FRA;DF,FW;Strasbourg;Ligue 1;18;2005;17;3;471;5.2;1;1;2;1;0;0;1;0;0.3;0.3;0.5;0.8;7;18;14;0.19;0.19;0.38;0.19;0.38;0.06;0.10;0.16;0.06;0.16;5;2;40.0;0.96;0.38;0.20;0.50;21.0;0;0;0;0.3;0.3;0.07;+0.7;+0.7;167;195;85.6;2758;602;80;88;90.9;70;82;85.4;11;14;78.6;1;0.5;0.1;+0.5;3;11;2;0;18;9;1.72;5;1;0;1;0;2;3;0.57;2;1;0;0;0;0;6;4;3;1;2;3;5;60.0;2;10;0;10;9;15;12;2;251;16;70;115;68;7;251;4;2;50.0;2;50.0;119;554;225;7;4;4;7;4;164;14;1;0;0;7;1;1;3;9;4;0;0;0;26;3;6;33.3
2005;Kassoum Ouattara;FRA;DF,FW;Monaco;Ligue 1;19;2004;12;5;391;4.3;0;1;1;0;0;0;2;0;0.2;0.2;1.2;1.4;15;16;35;0.00;0.23;0.23;0.00;0.23;0.04;0.28;0.31;0.04;0.31;2;1;50.0;0.46;0.23;0.00;0.00;21.2;0;0;0;0.2;0.2;0.08;-0.2;-0.2;172;217;79.3;2919;1053;80;95;84.2;75;90;83.3;13;22;59.1;1;1.2;1.3;-0.2;6;11;8;7;16;9;2.07;8;0;0;0;1;0;1;0.23;1;0;0;0;0;0;9;7;5;4;0;4;14;28.6;10;6;0;6;5;14;2;1;274;4;56;131;88;9;274;15;5;33.3;9;60.0;137;734;399;15;3;4;12;7;151;35;2;0;0;10;2;0;17;5;7;0;0;0;27;4;8;33.3
2007;Assan Ouedraogo;GER;MF;RB Leipzig;Bundesliga;18;2006;3;0;50;0.6;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;2;1;2;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;1;0;0.0;1.80;0.00;0.00;;22.8;0;0;0;0.1;0.1;0.06;-0.1;-0.1;15;20;75.0;206;37;8;8;100.0;7;10;70.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;1;0;0;0;0;30;0;5;15;12;4;30;3;0;0.0;3;100.0;23;193;70;2;0;3;2;6;26;2;0;0;0;1;3;0;1;0;0;0;0;0;6;0;0;
2018;Nico O’Reilly;ENG;DF;Manchester City; Premier League;19;2005;9;6;528;5.9;2;0;2;2;0;0;0;0;1.3;1.3;0.4;1.6;16;17;26;0.34;0.00;0.34;0.34;0.34;0.22;0.06;0.28;0.22;0.28;8;3;37.5;1.36;0.51;0.25;0.67;15.4;0;0;0;1.3;1.3;0.16;+0.7;+0.7;305;353;86.4;4042;780;209;226;92.5;88;109;80.7;3;7;42.9;0;0.4;0.7;-0.4;4;28;1;1;17;12;2.05;9;1;1;0;1;0;2;0.34;2;0;0;0;0;0;9;4;3;3;3;4;8;50.0;4;5;1;4;4;13;12;0;419;14;71;223;130;18;419;15;9;60.0;6;40.0;249;1171;575;16;15;0;14;15;298;26;0;0;0;6;4;1;8;4;4;0;0;0;31;6;9;40.0
2023;Simone Pafundi;ITA;MF,DF;Udinese;Serie A;18;2006;9;0;116;1.3;0;0;0;0;0;0;0;0;0.1;0.1;0.7;0.7;3;0;7;0.00;0.00;0.00;0.00;0.00;0.05;0.52;0.57;0.05;0.57;2;1;50.0;1.55;0.78;0.00;0.00;23.4;1;0;0;0.1;0.1;0.03;-0.1;-0.1;57;77;74.0;1004;168;25;29;86.2;23;28;82.1;6;16;37.5;0;0.7;0.3;-0.7;3;4;0;0;0;6;4.66;4;2;0;0;0;0;0;0.00;0;0;0;0;0;0;3;3;2;0;1;1;4;25.0;3;0;0;0;0;3;1;0;95;1;8;47;41;1;95;7;1;14.3;2;28.6;56;381;131;3;9;0;2;1;57;7;0;0;0;1;6;0;14;0;3;0;0;0;3;0;2;0.0
2029;Marco Palestra;ITA;DF;Atalanta;Serie A;19;2005;9;2;222;2.5;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;13;6;14;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.10;0.00;0.10;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;85;109;78.0;1246;347;52;60;86.7;28;33;84.8;3;8;37.5;0;0.2;0.5;-0.2;3;7;3;3;6;8;3.21;7;0;0;0;0;1;0;0.00;0;0;0;0;0;0;6;4;3;2;1;3;3;100.0;0;4;1;3;2;8;4;0;137;4;30;54;53;12;137;12;4;33.3;5;41.7;89;644;411;13;6;6;3;1;94;14;0;0;0;1;10;1;12;2;4;0;0;0;7;2;2;50.0
2032;Matteo Palma;GER;DF;Udinese;Serie A;16;2008;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;5;7;71.4;80;13;2;3;66.7;3;4;75.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;1;0;0;0;1;0;9;1;3;6;0;0;9;0;0;;0;;5;7;4;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;100.0
2036;Mats Pannewig;GER;MF;Bochum;Bundesliga;19;2004;14;2;267;3.0;0;0;0;0;0;0;1;0;0.8;0.8;0.1;0.9;3;10;16;0.00;0.00;0.00;0.00;0.00;0.27;0.04;0.31;0.27;0.31;9;3;33.3;3.03;1.01;0.00;0.00;14.9;0;0;0;0.8;0.8;0.09;-0.8;-0.8;91;121;75.2;1470;350;43;51;84.3;41;51;80.4;4;9;44.4;0;0.1;0.1;-0.1;1;4;0;0;10;11;3.72;9;0;0;2;0;0;0;0.00;0;0;0;0;0;0;10;6;7;3;0;3;12;25.0;9;8;1;7;2;12;8;0;182;10;51;89;47;10;182;3;1;33.3;2;66.7;97;397;176;3;3;1;11;8;103;16;1;0;0;5;1;0;3;2;6;0;0;0;24;5;10;33.3
2042;Iago Parente;ESP;DF;Valladolid;La Liga;18;2006;1;1;71;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;27;37;73.0;466;230;10;10;100.0;16;18;88.9;1;7;14.3;0;0.0;0.0;0.0;1;3;0;0;4;2;2.54;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;2;0;40;2;20;19;1;0;40;0;0;;0;;32;122;61;0;0;0;0;0;32;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;
2052;Aleksandar Pavlovic;GER;MF;Bayern Munich;Bundesliga;20;2004;21;18;1,451;16.1;1;0;1;1;0;0;2;0;0.6;0.6;0.2;0.8;15;128;33;0.06;0.00;0.06;0.06;0.06;0.03;0.01;0.05;0.03;0.05;9;4;44.4;0.56;0.25;0.11;0.25;20.4;0;0;0;0.6;0.6;0.06;+0.4;+0.4;1437;1541;93.3;22476;5374;793;821;96.6;547;575;95.1;76;104;73.1;0;0.2;1.9;-0.2;7;169;13;1;128;30;1.86;29;0;0;1;0;0;3;0.19;3;0;0;0;0;0;38;21;13;15;10;22;32;68.8;10;18;3;15;5;43;14;0;1648;17;194;1100;363;11;1648;5;5;100.0;0;0.0;1035;4360;1984;15;43;3;13;2;1401;33;2;0;0;17;9;0;5;5;21;0;0;0;72;12;10;54.5
2057;Nicolás Paz;ARG;MF,FW;Como;Serie A;19;2004;35;30;2,687;29.9;6;8;14;6;0;1;6;0;9.3;8.5;6.0;14.5;77;163;171;0.20;0.27;0.47;0.20;0.47;0.31;0.20;0.51;0.28;0.49;109;37;33.9;3.65;1.24;0.06;0.16;20.7;12;0;1;9.3;8.5;0.08;-3.3;-2.5;992;1231;80.6;13933;3946;602;673;89.5;304;367;82.8;44;90;48.9;8;6.0;3.9;+2.0;54;116;38;2;163;144;4.82;96;11;19;11;6;1;16;0.54;14;0;2;0;0;0;51;33;18;26;7;24;51;47.1;27;49;3;46;21;72;16;0;1683;21;225;821;667;85;1682;135;69;51.1;58;43.0;1093;6153;2878;77;62;16;101;45;1265;171;6;0;0;47;33;2;41;21;33;0;1;0;118;31;23;57.4
2063;Kévin Pedro;FRA;DF;Saint-Étienne;Ligue 1;18;2006;1;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;6;11;54.5;89;35;4;5;80.0;2;6;33.3;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;3;0;2;1;0;3;3;100.0;0;1;0;1;2;5;1;0;17;4;8;8;1;0;17;1;1;100.0;0;0.0;8;60;38;2;0;0;0;0;4;1;0;0;0;1;0;0;1;2;0;0;0;0;2;0;0;
2081;Sergiu Perciun;MDA;FW,MF;Torino;Serie A;18;2006;5;0;152;1.7;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.2;2;4;12;0.00;0.00;0.00;0.00;0.00;0.03;0.08;0.10;0.03;0.10;2;1;50.0;1.18;0.59;0.00;0.00;22.4;0;0;0;0.0;0.0;0.02;0.0;0.0;34;52;65.4;535;160;18;24;75.0;13;20;65.0;2;6;33.3;0;0.1;0.5;-0.1;2;2;3;2;4;8;4.77;6;0;0;0;1;1;1;0.60;1;0;0;0;0;0;2;2;0;0;2;1;4;25.0;3;2;0;2;1;3;2;0;72;3;11;24;37;6;72;5;2;40.0;2;40.0;48;221;87;2;0;2;6;1;52;12;0;0;0;3;4;0;5;1;2;0;0;0;10;0;2;0.0
2082;Óscar Perea;COL;MF,DF;Strasbourg;Ligue 1;18;2005;2;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;2;4;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.09;0.09;0.09;1;0;0.0;6.43;0.00;0.00;;29.8;0;0;0;0.0;0.0;0.01;0.0;0.0;10;10;100.0;156;25;4;4;100.0;6;6;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;2;1;6.43;0;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;13;0;0;6;7;0;13;2;2;100.0;0;0.0;8;84;38;1;0;0;2;0;10;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;
2102;Noah Pesch;CRO;FW;Gladbach;Bundesliga;19;2005;1;0;6;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;2;4;50.0;32;11;1;2;50.0;1;2;50.0;0;0;;0;0.0;0.0;0.0;0;0;1;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;0;0;0;1;0;0;;0;0;0;0;0;1;0;0;5;0;0;1;4;0;5;0;0;;0;;2;17;16;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;
2105;Prosper Peter;NGA;MF,FW;Angers;Ligue 1;16;2007;2;0;27;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;2;50.0;10;0;1;2;50.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;1;0;2;0;0;0;;0;0;0;0;0;2;0;0;4;0;0;3;1;0;4;1;0;0.0;1;100.0;2;6;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0.0
2109;Valentín Pezzolesi;ESP;DF;Las Palmas;La Liga;17;2007;1;0;6;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;2;5;40.0;45;4;0;2;0.0;2;3;66.7;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;1;6;1;5;0;1;0;6;0;0;;0;;2;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2127;Nicola Pintus;ITA;DF;Cagliari;Serie A;19;2005;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;1;100.0;11;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;2;0;3;1;3;0;0;0;3;0;0;;0;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
