Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
65;Ilias Akhomach;MAR;MF,FW;Villarreal;La Liga;20;2004;11;7;584;6.5;1;0;1;1;0;0;1;0;0.6;0.6;1.0;1.6;30;12;64;0.15;0.00;0.15;0.15;0.15;0.09;0.15;0.23;0.09;0.23;17;6;35.3;2.62;0.92;0.06;0.17;23.3;0;0;0;0.6;0.6;0.03;+0.4;+0.4;136;185;73.5;2161;534;76;88;86.4;46;63;73.0;8;14;57.1;0;1.0;1.7;-1.0;9;5;8;2;12;29;4.38;17;0;5;1;6;0;1;0.15;0;0;0;0;1;0;12;7;4;4;4;6;12;50.0;6;8;0;8;3;15;13;0;293;8;44;89;163;29;293;43;19;44.2;17;39.5;200;1310;759;30;18;20;15;10;209;64;1;0;0;9;21;1;18;3;7;0;0;0;30;6;6;50.0
75;Ibrahim Alani;NGA;MF;Valladolid;La Liga;18;2006;3;1;160;1.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;5;1;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;1;0;0.0;0.56;0.00;0.00;;30.2;0;0;0;0.0;0.0;0.02;0.0;0.0;71;85;83.5;1385;298;23;25;92.0;37;39;94.9;8;15;53.3;0;0.0;0.0;0.0;0;7;0;0;5;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;12;7;8;4;0;4;6;66.7;2;3;1;2;1;13;1;0;113;8;36;74;4;0;113;1;1;100.0;0;0.0;54;305;130;2;0;0;1;2;65;1;0;0;0;2;5;0;0;1;7;0;0;0;13;3;1;75.0
86;Mohamed Ali Cho;FRA;FW,MF;Nice;Ligue 1;20;2004;27;21;1,621;18.0;3;4;7;3;0;0;2;0;4.0;4.0;4.0;7.9;81;59;133;0.17;0.22;0.39;0.17;0.39;0.22;0.22;0.44;0.22;0.44;36;15;41.7;2.00;0.83;0.08;0.20;17.7;0;0;0;4.0;4.0;0.11;-1.0;-1.0;338;481;70.3;4959;1248;205;247;83.0;105;147;71.4;19;42;45.2;4;4.0;3.5;0.0;30;23;36;5;59;59;3.28;45;3;5;1;5;0;11;0.61;8;0;1;1;1;0;13;9;4;5;4;4;12;33.3;8;17;1;16;5;18;8;0;720;9;75;308;356;74;720;70;20;28.6;41;58.6;460;3302;1943;81;39;30;68;26;545;133;2;0;0;12;41;9;51;5;9;0;0;0;69;13;27;32.5
94;Iker Almena;ESP;FW,DF;Girona;La Liga;20;2004;2;0;48;0.5;0;1;1;0;0;0;0;0;0.0;0.0;0.7;0.7;6;2;10;0.00;1.87;1.87;0.00;1.87;0.06;1.27;1.33;0.06;1.33;1;0;0.0;1.87;0.00;0.00;;24.7;0;0;0;0.0;0.0;0.03;0.0;0.0;23;32;71.9;328;34;13;14;92.9;10;14;71.4;0;1;0.0;1;0.7;0.4;+0.3;2;0;0;0;2;3;5.63;2;0;1;0;0;0;2;3.75;1;0;1;0;0;0;0;0;0;0;0;0;1;0.0;1;1;0;1;0;0;2;0;39;2;4;6;30;1;39;3;2;66.7;1;33.3;32;233;152;6;3;1;1;0;31;10;0;0;0;0;1;0;4;0;0;0;0;0;2;0;0;
107;Will Alves;ENG;FW;Leicester City; Premier League;19;2005;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;1;100.0;12;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;;0;;1;5;5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;Harry Amass;ENG;DF;Manchester Utd; Premier League;17;2007;5;4;346;3.8;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;9;7;23;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.02;0.02;0.02;3;0;0.0;0.78;0.00;0.00;;21.7;0;0;0;0.1;0.1;0.02;-0.1;-0.1;149;181;82.3;1920;387;97;105;92.4;44;56;78.6;3;11;27.3;0;0.0;0.1;0.0;1;5;0;0;7;8;2.08;7;0;0;1;0;0;0;0.00;0;0;0;0;0;0;6;2;5;1;0;2;8;25.0;6;11;1;10;2;8;11;0;250;13;82;88;84;5;250;8;3;37.5;4;50.0;132;705;376;9;6;2;18;5;124;23;0;0;0;2;4;1;9;2;2;0;0;0;26;7;6;53.8
116;Samuel Amo-Ameyaw;ENG;FW,DF;Southampton; Premier League;18;2006;2;0;28;0.3;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;1;0;3;0.00;0.00;0.00;0.00;0.00;0.07;0.22;0.29;0.07;0.29;1;0;0.0;3.21;0.00;0.00;;20.7;0;0;0;0.0;0.0;0.02;0.0;0.0;8;9;88.9;107;13;6;6;100.0;2;3;66.7;0;0;;0;0.1;0.1;-0.1;1;0;1;1;0;2;6.43;1;0;0;0;1;0;0;0.00;0;0;0;0;0;0;1;0;0;1;0;1;1;100.0;0;0;0;0;0;1;0;0;16;0;5;5;7;1;16;4;0;0.0;3;75.0;11;98;68;1;0;1;0;2;11;3;1;0;0;1;2;0;2;0;0;0;0;0;1;0;1;0.0
117;Samuel Amo-Ameyaw;ENG;DF,MF;Strasbourg;Ligue 1;18;2006;9;3;320;3.6;2;0;2;2;0;0;0;0;0.7;0.7;0.6;1.3;11;12;18;0.56;0.00;0.56;0.56;0.56;0.20;0.16;0.35;0.20;0.35;9;7;77.8;2.53;1.97;0.22;0.29;17.0;0;0;0;0.7;0.7;0.08;+1.3;+1.3;106;123;86.2;1579;280;55;60;91.7;42;47;89.4;3;7;42.9;0;0.6;0.9;-0.6;5;4;5;0;12;14;3.93;9;1;2;2;0;0;1;0.28;1;0;0;0;0;0;5;3;3;2;0;2;9;22.2;7;3;0;3;3;8;2;0;165;2;29;72;68;10;165;12;5;41.7;4;33.3;94;698;300;11;10;4;7;2;113;18;0;0;0;3;5;1;6;3;3;0;0;0;14;0;7;0.0
118;Mathis Amougou;FRA;MF;Chelsea; Premier League;18;2006;1;0;8;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;7;7;100.0;69;30;6;6;100.0;1;1;100.0;0;0;;0;0.0;0.0;0.0;0;2;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;9;1;2;4;3;0;9;0;0;;0;;7;25;5;0;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;
119;Mathis Amougou;FRA;MF;Saint-Étienne;Ligue 1;18;2006;17;9;859;9.5;0;0;0;0;0;0;2;0;0.5;0.5;0.4;0.8;8;36;17;0.00;0.00;0.00;0.00;0.00;0.05;0.04;0.09;0.05;0.09;7;1;14.3;0.73;0.10;0.00;0.00;18.9;0;0;0;0.5;0.5;0.06;-0.5;-0.5;232;301;77.1;3514;1194;126;146;86.3;82;107;76.6;14;25;56.0;0;0.4;0.3;-0.4;7;23;4;0;36;17;1.78;14;0;2;1;0;0;0;0.00;0;0;0;0;0;0;21;15;15;5;1;10;19;52.6;9;10;0;10;12;33;4;0;407;18;104;218;90;9;407;16;5;31.3;9;56.3;242;1169;585;8;11;2;22;8;273;17;2;0;0;6;8;0;1;12;15;0;0;0;37;3;12;20.0
130;Lorenzo Anghelè;ITA;FW;Juventus;Serie A;19;2005;1;0;6;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;4;4;100.0;82;12;2;2;100.0;1;1;100.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;5;0;0;5;1;0;5;1;1;100.0;0;0.0;3;19;3;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0
134;Kyllian Antonio;FRA;DF,MF;Lens;Ligue 1;16;2008;3;2;139;1.5;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;0;0;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;1;0;0.0;0.65;0.00;0.00;;18.2;0;0;0;0.1;0.1;0.05;-0.1;-0.1;81;97;83.5;1347;373;36;37;97.3;37;41;90.2;5;12;41.7;0;0.0;0.0;0.0;0;2;0;0;0;1;0.65;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;3;2;2;0;1;1;3;33.3;2;3;0;3;3;6;3;1;114;2;47;54;13;1;114;2;1;50.0;0;0.0;82;322;132;1;0;1;2;2;85;0;0;0;0;2;3;0;2;3;2;0;0;0;5;2;2;50.0
154;Harrison Armstrong;ENG;MF;Everton; Premier League;17;2007;3;0;48;0.5;0;0;0;0;0;0;1;0;0.4;0.4;0.1;0.4;1;1;0;0.00;0.00;0.00;0.00;0.00;0.69;0.14;0.82;0.69;0.82;1;0;0.0;1.87;0.00;0.00;;5.8;0;0;0;0.4;0.4;0.37;-0.4;-0.4;7;15;46.7;149;15;3;4;75.0;2;5;40.0;2;4;50.0;0;0.1;0.0;-0.1;1;1;0;0;1;1;1.87;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;1;0;20;0;3;12;7;2;20;1;1;100.0;0;0.0;15;110;43;1;2;0;2;3;14;0;1;0;0;2;2;0;1;0;0;0;0;0;2;0;2;0.0
171;Dehmaine Assoumani;FRA;MF,FW;Nantes;Ligue 1;19;2005;12;0;98;1.1;0;0;0;0;0;0;0;0;0.1;0.1;0.9;1.0;4;1;15;0.00;0.00;0.00;0.00;0.00;0.08;0.83;0.91;0.08;0.91;3;2;66.7;2.76;1.84;0.00;0.00;26.1;0;0;0;0.1;0.1;0.03;-0.1;-0.1;38;50;76.0;581;163;21;24;87.5;13;15;86.7;3;6;50.0;0;0.9;1.0;-0.9;5;1;2;2;1;7;6.36;5;2;0;0;0;0;0;0.00;0;0;0;0;0;0;6;3;0;4;2;4;5;80.0;1;1;0;1;1;7;4;0;77;2;12;39;27;7;77;6;3;50.0;3;50.0;48;309;154;4;2;2;7;3;49;15;0;0;0;1;4;0;6;1;3;0;0;0;8;2;3;40.0
172;Valentin Atangana Edoa;FRA;MF;Reims;Ligue 1;18;2005;34;33;2,854;31.7;1;0;1;1;0;0;7;0;2.5;2.5;1.1;3.6;41;93;38;0.03;0.00;0.03;0.03;0.03;0.08;0.03;0.11;0.08;0.11;33;6;18.2;1.04;0.19;0.03;0.17;18.4;0;0;0;2.5;2.5;0.08;-1.5;-1.5;908;1056;86.0;13649;3710;489;532;91.9;374;417;89.7;23;49;46.9;0;1.1;0.7;-1.1;12;66;8;1;93;49;1.55;33;0;3;5;4;4;1;0.03;1;0;0;0;0;0;69;50;32;30;7;28;38;73.7;10;31;15;16;37;106;64;0;1433;115;457;760;234;54;1433;48;14;29.2;29;60.4;735;4761;2212;41;35;8;57;23;889;38;7;0;0;57;50;8;17;37;50;0;0;0;117;47;34;58.0
