,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
765,Tim Drexler,GER,DF,Hoffenheim,Bundliga,20,2005,8,5,357,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,4.0,6,1.51,6,0,0,0,0,0,1,0.25,1,0,0,0,0,0,153,180,85.0,2669,1021,76,82,92.7,61,69,88.4,14,21,66.7,0,0.0,0.2,0.0,1,13,2,0,16,0,8,2,0,1,1,7,0,0,0,10,2,12,14.3,0,2,2,100.0,0.50,0.50,0.00,0.00,27.5,0,0,0,0.03,-0.1,-0.1,17,7,11,6,0,9,12,75.0,3,6,4,2,1,18,9,1,45,15.3,5,54,1,3,29,3,1.00,5,12,-7,-1.76,-1.36,4.9,11.3,-6.4,-1.61,-1.34,223,18,91,125,11,0,223,0,0,0,0,0,128,483,208,2,2,0,3,5,143,2
766,Domingos Duarte,POR,DF,Getafe,La Liga,30,1995,13,12,1081,12.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,3,30,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,12.0,3,0.25,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,289,371,77.9,6430,2117,67,83,80.7,168,189,88.9,51,93,54.8,0,0.1,0.1,-0.1,2,26,0,0,30,1,14,4,0,0,9,5,0,1,0,34,18,8,69.2,0,1,0,0.0,0.08,0.00,0.00,0,14.4,0,0,0,0.01,0.0,0.0,13,5,10,2,1,6,8,75.0,2,15,7,8,9,22,95,1,83,42.9,12,90,11,1,2,14,1.77,14,11,+3,+0.25,+0.31,10.4,17.7,-7.3,-0.61,-0.54,512,74,270,237,12,3,512,0,0,0,0,0,220,1023,457,3,1,0,2,1,236,3
767,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,36,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,265,333,79.6,5932,3082,58,58,100.0,161,161,100.0,45,112,40.2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,90,35.7,10,90,10,0,0,14,2.10,23,12,+11,+1.10,+1.21,20.2,10.8,+9.4,+0.94,+0.85,350,262,337,14,0,0,350,0,0,0,0,0,202,1043,643,0,0,0,0,0,175,0
768,Marvin Ducksch,GER,FW,Werder Bremen,Bundliga,31,1994,24,22,1797,20.0,6,7,13,5,1,2,3,0,8.0,6.4,5.8,12.2,15,64,123,0.30,0.35,0.65,0.25,0.60,0.40,0.29,0.69,0.32,0.61,20.0,66,3.30,42,22,0,2,0,0,9,0.45,8,1,0,0,0,0,407,659,61.8,7202,2166,163,217,75.1,142,215,66.0,64,150,42.7,7,5.8,6.5,+1.2,39,29,22,7,64,0,4,14,11,127,5,6,0,0,0,45,16,25,39.0,6,52,20,38.5,2.60,1.00,0.10,0.25,17.5,6,1,2,0.12,-2.0,-1.4,8,6,3,4,1,2,12,16.7,10,6,1,5,5,13,20,1,75,76.8,22,80,8,2,20,0,1.25,32,38,-6,-0.30,+0.86,24.9,29.3,-4.4,-0.22,-0.41,806,24,66,313,435,88,804,14,4,28.6,9,64.3,382,1222,544,15,16,9,23,9,481,123
769,Ondrej Duda,SVK,MF,Hellas Verona,Serie A,30,1994,20,19,1701,18.9,1,2,3,1,0,0,10,1,0.7,0.7,2.6,3.3,13,72,16,0.05,0.11,0.16,0.05,0.16,0.04,0.14,0.18,0.04,0.18,18.9,53,2.80,31,13,2,3,4,0,6,0.32,4,2,0,0,0,0,655,836,78.3,11620,3698,321,357,89.9,228,278,82.0,83,163,50.9,2,2.6,2.1,-0.6,25,76,18,4,72,1,33,47,0,59,26,19,0,0,0,134,11,8,57.9,1,18,4,22.2,0.95,0.21,0.06,0.25,26.9,3,0,0,0.04,+0.3,+0.3,32,19,14,16,2,23,52,44.2,29,18,6,12,26,58,24,4,85,65.2,19,87,14,1,45,0,1.25,21,28,-7,-0.37,+1.81,19.3,26.8,-7.6,-0.40,+0.51,1033,55,230,611,205,2,1033,31,16,51.6,10,32.3,492,2460,936,13,15,1,39,19,545,16
770,Duk,CPV,MF,Leganés,La Liga,25,2000,5,0,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,7,1,14,0.00,0.00,0.00,0.00,0.00,0.03,1.04,1.07,0.03,1.07,0.6,4,6.67,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,19,29,65.5,278,93,12,14,85.7,6,8,75.0,0,2,0.0,0,0.6,0.4,-0.6,4,0,2,1,1,0,1,6,0,4,0,3,0,0,0,6,0,0,0,0,1,1,100.0,1.64,1.64,0.00,0.00,30.3,0,0,0,0.02,0.0,0.0,4,3,1,2,1,1,1,100.0,0,2,0,2,0,4,0,0,11,2.2,0,0,0,5,11,1,0.20,1,0,+1,+1.64,+2.29,1.1,0.2,+0.9,+1.47,+2.30,47,1,5,10,33,8,47,14,8,57.1,6,42.9,37,235,152,7,2,4,4,2,33,14
771,Denzel Dumfries,NED,DF,Inter,Serie A,28,1996,25,19,1761,19.6,6,2,8,6,0,0,4,0,5.1,5.1,2.6,7.7,45,45,155,0.31,0.10,0.41,0.31,0.41,0.26,0.13,0.39,0.26,0.39,19.6,52,2.66,36,5,3,3,4,1,4,0.20,2,0,0,1,1,0,530,727,72.9,8580,2689,284,326,87.1,202,297,68.0,38,65,58.5,2,2.6,2.5,-0.6,20,21,18,8,45,0,51,16,5,51,6,18,2,0,0,59,53,16,76.8,6,33,17,51.5,1.69,0.87,0.18,0.35,10.5,0,0,0,0.15,+0.9,+0.9,25,18,12,9,4,14,24,58.3,10,25,5,20,6,31,21,1,70,67.5,19,85,15,6,25,3,2.08,42,21,+21,+1.07,-0.73,37.1,17.0,+20.2,+1.03,+0.20,919,30,149,377,407,83,919,37,9,24.3,24,64.9,472,2377,1097,45,23,10,25,10,584,155
772,Alfred Duncan,GHA,MF,Venezia,Serie A,32,1993,14,12,936,10.4,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.9,11,52,12,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.18,0.07,0.18,10.4,32,3.08,25,4,1,2,0,0,2,0.19,1,0,0,1,0,0,401,492,81.5,6751,1873,190,215,88.4,167,186,89.8,32,62,51.6,0,1.1,1.0,-1.1,11,36,19,4,52,0,21,11,0,17,8,8,0,0,0,52,10,8,55.6,0,14,4,28.6,1.35,0.38,0.00,0.00,25.2,0,0,0,0.06,-0.8,-0.8,17,8,4,11,2,5,14,35.7,9,5,2,3,8,25,7,0,67,35.9,12,76,6,2,12,1,0.57,7,18,-11,-1.06,-0.63,10.1,13.8,-3.8,-0.36,+0.46,577,15,92,354,139,6,577,22,13,59.1,8,36.4,304,1430,661,11,14,0,14,12,373,12
773,Lewis Dunk,ENG,DF,Brighton,Premier League,33,1991,19,17,1562,17.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,17,111,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,17.4,16,0.92,14,0,0,2,0,0,3,0.17,2,0,0,1,0,0,1343,1472,91.2,24984,8260,508,524,96.9,710,744,95.4,113,179,63.1,0,0.5,0.7,-0.5,6,123,4,0,111,0,5,8,2,2,10,8,0,0,1,84,39,24,61.9,0,10,2,20.0,0.58,0.12,0.00,0.00,13.4,1,0,0,0.07,-0.7,-0.7,15,8,7,6,2,9,14,64.3,5,20,14,6,10,25,57,0,82,59.8,17,89,16,2,24,0,1.37,24,30,-6,-0.35,-1.38,23.4,27.5,-4.1,-0.24,-0.81,1600,205,778,748,84,15,1600,1,0,0.0,1,100.0,988,4693,2575,17,15,0,4,3,1163,2
774,Jáder Durán,COL,FW,Aston Villa,Premier League,21,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,0.16,+2.1,+2.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0,32,24.4,4,60,0,16,25,1,1.50,12,12,0,0.00,+0.18,9.2,9.7,-0.5,-0.07,-0.15,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44
775,Pablo Durán,ESP,FW,Celta Vigo,La Liga,23,2001,18,10,908,10.1,4,2,6,4,0,0,3,0,2.8,2.8,2.0,4.9,18,20,86,0.40,0.20,0.59,0.40,0.59,0.28,0.20,0.48,0.28,0.48,10.1,17,1.69,14,0,2,1,0,0,2,0.20,2,0,0,0,0,0,192,273,70.3,2746,447,106,131,80.9,63,82,76.8,11,25,44.0,2,2.0,0.6,0.0,10,11,7,2,20,0,22,13,4,14,7,6,0,0,0,31,6,22,21.4,4,16,6,37.5,1.59,0.59,0.25,0.67,14.0,0,0,0,0.18,+1.2,+1.2,10,6,2,6,2,3,10,30.0,7,7,2,5,7,17,5,0,50,36.0,10,79,3,8,15,9,1.61,13,14,-1,-0.10,-0.15,12.9,10.8,+2.1,+0.21,-0.15,391,5,36,167,191,44,391,25,5,20.0,19,76.0,228,1110,444,18,11,9,27,16,270,86
776,Julien Duranville,BEL,FW,Dortmund,Bundliga,18,2006,10,2,262,2.9,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,7,32,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14,2.9,7,2.39,3,0,0,0,4,0,1,0.34,0,0,0,0,1,0,54,79,68.4,808,171,36,43,83.7,15,26,57.7,3,7,42.9,0,0.3,0.9,-0.3,1,3,1,1,7,0,9,7,2,13,0,0,1,0,0,5,0,1,0.0,0,3,1,33.3,1.03,0.34,0.00,0.00,20.5,0,0,0,0.03,-0.1,-0.1,3,0,0,3,0,1,1,100.0,0,1,0,1,0,3,3,0,26,11.2,2,51,0,8,20,11,1.10,4,6,-2,-0.69,-0.95,4.8,3.4,+1.4,+0.48,+0.04,126,2,8,36,84,13,126,28,12,42.9,10,35.7,94,723,369,14,8,7,6,15,100,32
777,Hugo Duro,ESP,FW,Valencia,La Liga,25,1999,22,20,1696,18.8,7,2,9,7,0,0,3,0,6.4,6.4,1.2,7.6,11,23,66,0.37,0.11,0.48,0.37,0.48,0.34,0.06,0.40,0.34,0.40,18.8,26,1.38,19,0,1,3,3,0,3,0.16,1,0,0,1,1,0,238,338,70.4,3282,410,135,173,78.0,77,103,74.8,9,17,52.9,2,1.2,0.5,+0.8,13,14,3,0,23,0,28,41,6,7,10,7,0,1,1,39,49,80,38.0,7,37,11,29.7,1.96,0.58,0.19,0.64,11.1,1,0,0,0.17,+0.6,+0.6,12,7,4,7,1,4,11,36.4,7,11,2,9,10,22,8,0,77,67.3,20,82,12,2,31,1,0.86,20,34,-14,-0.74,-0.63,20.8,28.3,-7.6,-0.40,-0.27,515,12,43,264,214,72,515,19,7,36.8,12,63.2,231,833,299,11,7,6,51,27,376,66
778,Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,27,1997,9,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,22,8,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,6.0,5,0.84,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0,238,304,78.3,3826,1571,123,141,87.2,96,112,85.7,17,37,45.9,0,0.1,0.1,-0.1,1,22,2,2,22,0,14,6,0,9,8,12,0,0,0,20,9,3,75.0,0,4,0,0.0,0.67,0.00,0.00,0,17.0,0,0,0,0.07,-0.3,-0.3,21,12,13,4,4,15,27,55.6,12,10,3,7,8,29,23,0,60,22.9,7,72,3,2,17,6,1.00,9,9,0,0.00,+0.70,7.0,8.1,-1.1,-0.19,+0.29,378,28,132,185,61,3,378,5,2,40.0,1,20.0,161,670,327,6,8,1,6,3,198,8
779,Paulo Dybala,ARG,FW,Roma,Serie A,31,1993,24,16,1417,15.7,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,122,0.38,0.19,0.57,0.19,0.38,0.40,0.32,0.72,0.25,0.57,15.7,84,5.34,47,19,1,6,11,0,8,0.51,5,1,0,0,2,0,596,729,81.8,9980,2382,315,346,91.0,177,213,83.1,72,114,63.2,3,5.0,5.2,-2.0,40,47,26,5,79,0,6,60,6,62,2,7,2,0,0,63,8,17,32.0,6,47,15,31.9,2.99,0.95,0.06,0.20,21.1,6,3,3,0.09,-0.4,-1.0,17,7,3,9,5,8,19,42.1,11,12,1,11,2,19,2,0,59,54.3,16,80,5,8,18,1,1.63,29,15,+14,+0.89,+0.89,25.3,18.7,+6.7,+0.42,+0.15,909,6,67,415,439,75,906,43,11,25.6,17,39.5,595,3180,1472,41,42,17,40,28,709,122
780,Stefan Džodić,SRB,DF,Montpellier,Ligue 1,20,2005,5,2,190,2.1,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,2.1,2,0.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,112,123,91.1,2026,757,42,46,91.3,66,69,95.7,3,7,42.9,0,0.0,0.0,0.0,0,9,0,0,7,0,4,2,0,0,4,3,0,0,0,9,2,5,28.6,0,2,0,0.0,0.95,0.00,0.00,0,21.8,0,0,0,0.03,-0.1,-0.1,6,3,3,3,0,4,6,66.7,2,5,4,1,4,10,8,0,38,8.3,2,82,1,3,9,6,0.60,1,8,-7,-3.32,-1.99,1.2,4.6,-3.4,-1.63,-0.92,151,18,77,70,4,2,151,0,0,0,0,0,93,519,308,2,1,0,0,0,106,0
781,Adam Dźwigała,POL,DF,St. Pauli,Bundliga,29,1995,12,0,192,2.1,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,1,9,4,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,2.1,2,0.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,83,112,74.1,1378,637,32,39,82.1,43,49,87.8,5,17,29.4,0,0.0,0.1,0.0,0,10,1,0,9,0,4,2,0,3,0,7,0,0,0,5,7,3,70.0,0,5,0,0.0,2.34,0.00,0.00,0,11.3,0,0,0,0.08,-0.4,-0.4,14,7,11,2,1,6,9,66.7,3,2,1,1,0,14,15,0,16,8.2,0,0,0,12,16,11,0.83,1,4,-3,-1.41,-1.11,3.2,4.2,-1.0,-0.48,-0.29,152,15,55,68,29,6,152,2,1,50.0,1,50.0,54,200,107,1,0,0,2,1,78,4
782,Aron Dønnum,NOR,DF,Toulouse,Ligue 1,26,1998,25,24,2066,23.0,1,2,3,1,0,0,4,0,1.6,1.6,3.9,5.6,82,98,107,0.04,0.09,0.13,0.04,0.13,0.07,0.17,0.24,0.07,0.24,23.0,67,2.92,44,14,3,3,3,0,9,0.39,6,2,0,1,0,0,664,934,71.1,11678,4114,331,382,86.6,245,334,73.4,80,154,51.9,2,3.9,4.1,-1.9,33,51,33,8,98,0,33,43,0,90,25,23,0,0,0,137,10,15,40.0,1,24,4,16.7,1.05,0.17,0.04,0.25,20.4,0,0,0,0.07,-0.6,-0.6,39,23,16,18,5,20,41,48.8,21,23,3,20,25,64,32,1,83,88.3,24,85,15,1,27,0,1.32,29,26,+3,+0.13,-0.20,29.8,26.2,+3.6,+0.16,-1.80,1192,47,241,538,433,57,1192,91,41,45.1,42,46.2,653,4539,2706,82,43,20,33,25,685,107
783,Enzo Ebosse,CMR,DF,Udinese,Serie A,26,1999,2,0,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,1.0,3,3.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,48,55,87.3,897,201,16,20,80.0,26,28,92.9,5,6,83.3,0,0.0,0.0,0.0,1,7,0,0,5,0,1,0,0,0,1,0,0,0,0,5,1,0,100.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,2,3,3,0,1,1,1,0,45,3.4,0,0,0,2,45,15,0.00,0,1,-1,-1.00,-0.89,0.6,0.7,-0.1,-0.13,+0.18,61,8,18,38,5,0,61,1,1,100.0,0,0.0,34,136,48,0,0,0,1,0,37,0
784,Ederson,BRA,GK,Manchester City,Premier League,31,1993,19,19,1710,19.0,0,3,3,0,0,0,3,0,0.0,0.0,0.8,0.8,0,1,0,0.00,0.16,0.16,0.00,0.16,0.00,0.04,0.04,0.00,0.04,19.0,5,0.26,5,0,0,0,0,0,3,0.16,3,0,0,0,0,0,614,706,87.0,15021,9928,114,114,100.0,359,366,98.1,139,223,62.3,3,0.8,0.0,+2.2,3,19,1,0,1,0,1,0,0,0,1,0,0,1,0,31,3,1,75.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,7,2,90,65.5,19,90,19,0,0,4,1.84,37,23,+14,+0.74,+0.64,35.8,23.2,+12.6,+0.66,+0.73,749,523,740,9,0,0,749,0,0,0,0,0,501,2333,1477,0,0,0,1,0,480,0
785,Éderson,BRA,MF,Atalanta,Serie A,25,1999,29,26,2319,25.8,3,1,4,3,0,0,5,1,3.0,3.0,3.7,6.7,29,165,63,0.12,0.04,0.16,0.12,0.16,0.11,0.15,0.26,0.11,0.26,25.8,81,3.14,62,2,5,6,2,4,10,0.39,9,0,0,1,0,0,1368,1575,86.9,25183,6879,535,605,88.4,684,734,93.2,133,180,73.9,1,3.7,4.4,-2.7,29,150,35,5,165,1,26,46,0,21,33,27,0,0,0,149,37,28,56.9,3,31,10,32.3,1.20,0.39,0.10,0.30,18.2,0,0,0,0.10,0.0,0.0,44,27,15,24,5,19,28,67.9,9,25,5,20,33,77,26,1,80,88.9,26,85,18,3,39,0,2.00,56,26,+30,+1.16,-0.38,44.4,23.8,+20.6,+0.80,+0.45,1856,51,406,1014,456,46,1856,38,17,44.7,18,47.4,1213,5668,2631,29,42,9,38,36,1371,63
786,Noah Edjouma,FRA,MF,Toulouse,Ligue 1,19,2005,6,0,94,1.0,2,0,2,2,0,0,0,0,1.3,1.3,0.0,1.3,3,1,8,1.91,0.00,1.91,1.91,1.91,1.22,0.00,1.22,1.22,1.22,1.0,3,2.84,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,15,21,71.4,150,63,12,14,85.7,1,3,33.3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,2,0,1,2,1,0,0,0,3,1,2,33.3,2,5,3,60.0,4.79,2.87,0.40,0.67,10.2,0,0,0,0.26,+0.7,+0.7,1,1,0,1,0,0,0,0,0,1,1,0,2,3,2,0,16,4.0,0,0,0,6,16,7,1.33,4,1,+3,+2.87,+2.83,2.7,0.9,+1.8,+1.73,+1.42,46,3,8,11,28,9,46,7,2,28.6,5,71.4,31,168,59,3,4,0,4,4,29,8
787,George Edmundson,ENG,DF,Ipswich Town,Premier League,27,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,50.0,9,0,1,1,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,1,2,0,0.00,0,0,0,0.00,+1.17,0.0,0.0,0.0,0.00,+1.04,3,1,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
788,Odsonne Édouard,FRA,MF,Crystal Palace,Premier League,27,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,0,5,1,20.0,3.91,0.78,0.00,0.00,20.9,0,0,0,0.08,-0.4,-0.4,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,58,4.6,1,70,0,1,45,0,0.00,1,2,-1,-0.78,-0.93,1.7,2.1,-0.4,-0.28,-0.62,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7
789,Odsonne Édouard,FRA,FW,Leicester City,Premier League,27,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1.1,0,0,0,4,7,3,1.00,0,1,-1,-3.10,-1.74,0.1,1.6,-1.5,-4.64,-3.72,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2
790,Samuel Edozie,ENG,DF,Southampton,Premier League,22,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,0,2,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0,33,2.5,0,0,0,2,33,0,0.00,0,0,0,0.00,+1.73,1.4,0.3,+1.1,+1.46,+2.93,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23
