,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
10,Abel,ESP,DF,Osasuna,La Liga,24,2000,26,14,1508,16.8,2,0,2,2,0,0,2,0,0.4,0.4,0.8,1.2,38,57,61,0.12,0.00,0.12,0.12,0.12,0.02,0.05,0.07,0.02,0.07,16.8,22,1.31,18,1,1,0,1,1,2,0.12,0,0,1,0,0,1,549,766,71.7,9196,3858,276,312,88.5,217,281,77.2,45,124,36.3,0,0.8,1.0,-0.8,10,42,9,7,57,0,15,20,1,62,13,26,0,0,0,84,16,12,57.1,2,9,3,33.3,0.54,0.18,0.22,0.67,25.1,0,0,0,0.04,+1.6,+1.6,38,26,15,16,7,22,37,59.5,15,22,2,20,13,51,46,2,58,62.1,14,86,9,12,26,1,1.27,18,28,-10,-0.60,-0.99,16.1,25.6,-9.5,-0.57,-0.82,944,48,286,432,235,11,944,25,13,52.0,9,36.0,422,2408,1289,38,32,4,19,10,460,61
11,Nabil Aberdin,FRA,MF,Getafe,La Liga,22,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,0,2,0,0.0,0.68,0.00,0.00,0,31.2,0,0,0,0.02,0.0,0.0,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,38,10.4,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.46,1.8,1.6,+0.2,+0.07,+0.41,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2
12,Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,100.0,21,7,0,0,0,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0.3,0,0,0,1,7,0,0.00,0,0,0,0.00,+0.38,0.0,0.0,0.0,-0.61,-0.65,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,26,25,2079,23.1,7,1,8,6,1,1,2,0,7.2,6.4,2.8,9.2,54,36,131,0.30,0.04,0.35,0.26,0.30,0.31,0.12,0.43,0.28,0.40,23.1,50,2.16,34,0,8,5,3,0,5,0.22,3,0,2,0,0,0,272,399,68.2,3964,716,147,196,75.0,91,120,75.8,15,29,51.7,1,2.8,2.8,-1.8,20,18,14,4,36,0,22,45,5,26,2,4,0,0,0,69,41,53,43.6,7,60,22,36.7,2.60,0.95,0.10,0.27,14.8,0,1,1,0.11,-0.2,-0.4,10,4,2,4,4,3,9,33.3,6,10,0,10,2,12,27,1,80,88.8,25,82,8,1,23,0,1.04,24,33,-9,-0.39,+1.33,27.7,34.8,-7.0,-0.30,+0.96,665,25,59,281,340,114,664,74,31,41.9,40,54.1,457,2850,1383,54,32,33,75,49,525,131
14,Abner,BRA,DF,Lyon,Ligue 1,24,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.1,22,51,48,0.11,0.11,0.22,0.11,0.22,0.02,0.10,0.12,0.02,0.12,9.1,18,1.98,15,3,0,0,0,0,1,0.11,1,0,0,0,0,0,420,502,83.7,6126,2606,242,265,91.3,139,164,84.8,24,39,61.5,1,0.9,1.9,+0.1,10,32,10,2,51,0,11,4,0,26,5,14,0,0,0,37,5,6,45.5,1,6,3,50.0,0.66,0.33,0.17,0.33,19.9,0,0,0,0.03,+0.8,+0.8,20,14,9,8,3,15,23,65.2,8,12,1,11,5,25,32,0,59,35.0,9,81,4,5,19,10,1.86,13,9,+4,+0.44,-0.33,15.5,12.2,+3.3,+0.36,+0.12,593,30,135,278,182,19,593,9,4,44.4,5,55.6,303,1420,919,22,13,4,12,7,379,48
15,Zakaria Aboukhlal,MAR,MF,Toulouse,Ligue 1,25,2000,23,22,1827,20.3,7,2,9,6,1,2,4,0,10.1,8.5,1.5,10.0,29,22,152,0.34,0.10,0.44,0.30,0.39,0.50,0.07,0.57,0.42,0.49,20.3,32,1.58,18,0,4,5,4,1,7,0.34,3,0,1,0,3,0,212,335,63.3,2647,728,140,186,75.3,52,90,57.8,6,14,42.9,2,1.5,1.8,+0.5,11,15,9,3,22,0,34,23,10,31,6,11,2,0,0,56,21,38,35.6,7,59,24,40.7,2.91,1.18,0.10,0.25,14.5,0,1,2,0.14,-3.1,-2.5,19,11,6,7,6,4,21,19.0,17,16,1,15,6,25,8,0,79,78.1,22,82,9,1,27,0,1.30,22,22,0,0.00,-0.70,27.4,22.3,+5.1,+0.25,-0.53,582,5,55,188,344,107,580,45,12,26.7,31,68.9,353,1778,797,29,20,16,61,25,429,152
16,Abdel Abqar,MAR,DF,Alavés,La Liga,26,1999,26,26,2208,24.5,0,1,1,0,0,0,12,0,0.8,0.8,0.2,1.0,15,76,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,24.5,23,0.94,18,0,0,2,1,2,3,0.12,2,0,0,0,1,0,648,860,75.3,14285,5114,166,179,92.7,378,413,91.5,100,242,41.3,1,0.2,0.4,+0.8,7,58,9,2,76,0,44,29,2,5,37,22,1,2,0,78,37,32,53.6,0,10,1,10.0,0.41,0.04,0.00,0.00,7.4,0,0,0,0.08,-0.8,-0.8,35,22,23,11,1,20,31,64.5,11,23,16,7,37,72,132,1,85,87.6,26,85,22,0,0,0,1.04,29,38,-9,-0.37,-0.08,29.3,30.9,-1.6,-0.07,+0.46,1142,153,604,494,54,22,1142,4,3,75.0,1,25.0,571,3334,1910,15,7,0,16,2,591,4
17,Tammy Abraham,ENG,FW,Roma,Serie A,27,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,1,1,1,1.00,0,0,0,0.00,-0.48,0.0,0.1,0.0,-3.09,-3.45,4,0,0,2,2,1,4,0,0,0,0,0,3,2,1,0,0,0,1,0,4,2
18,Tammy Abraham,ENG,FW,Milan,Serie A,27,1997,23,9,978,10.9,2,3,5,1,1,2,1,0,6.1,4.4,2.0,6.4,5,22,55,0.18,0.28,0.46,0.09,0.37,0.56,0.18,0.74,0.41,0.59,10.9,28,2.58,23,0,0,4,1,0,6,0.55,4,0,0,1,1,0,125,178,70.2,1605,450,73,96,76.0,41,62,66.1,2,4,50.0,3,2.0,1.2,+1.0,12,9,10,0,22,0,19,6,4,3,2,10,1,0,0,10,27,30,47.4,2,20,9,45.0,1.84,0.83,0.05,0.11,13.8,0,1,2,0.22,-4.1,-3.4,15,10,1,10,4,5,7,71.4,2,9,0,9,2,17,9,0,43,37.5,9,74,2,14,23,3,1.83,23,10,+13,+1.20,+1.31,20.6,9.9,+10.7,+0.98,+0.63,294,14,34,136,124,51,292,12,3,25.0,9,75.0,120,408,137,5,5,3,20,7,187,55
19,Federico Accornero,ITA,MF,Genoa,Serie A,21,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0,0,0,1,5,11,0.00,0,0,0,0.00,+0.31,0.0,0.0,0.0,+0.71,+0.92,8,1,2,3,3,0,8,0,0,0,0,0,5,25,18,0,1,0,2,0,5,0
