match_id,type_evenement,equipe_couleur,equipe_id,joueur,equipe_joueur,joueur_id,minute,xg,csc,situation,position_x,position_y
4513835,Miss,#C80C13,9829,Eliesse Ben Seghir,Monaco,1393439,11,0.05981453135609627,False,RegularPlay,85.4941176464,34.1525
4513835,AttemptSaved,#C80C13,9829,Mohammed Salisu,Monaco,938247,15,0.053700003772974014,False,FromCorner,101.58620689680001,26.516562500000003
4513835,Miss,#C80C13,9829,Soungoutou Magassa,Monaco,1385894,16,0.0757172480225563,False,FromCorner,97.1842105256,39.376904763
4513835,AttemptSaved,#C80C13,9829,Eliesse Ben Seghir,Monaco,1393439,16,0.08880449086427689,False,FastBreak,85.6014705876,34.68625
4513835,AttemptSaved,#C80C13,9829,Eliesse Ben Seghir,Monaco,1393439,17,0.10863254964351654,False,RegularPlay,91.6,27.614523809
4513835,AttemptSaved,#C80C13,9829,Mohammed Salisu,Monaco,938247,18,0.07040856033563614,False,FromCorner,98.3421052628,37.756
4513835,AttemptSaved,#C80C13,9829,Mika Biereth,Monaco,1113809,19,0.08822354674339294,False,RegularPlay,97.3771929818,32.24625
4513835,Miss,#40547D,10249,Issiaga Sylla,Montpellier,409193,20,0.034601785242557526,False,FromCorner,95.4473684198,37.355000000000004
4513835,AttemptSaved,#C80C13,9829,Lamine Camara,Monaco,1436305,21,0.18293391168117523,False,FastBreak,87.31911764680001,37.431250000000006
4513835,AttemptSaved,#C80C13,9829,Takumi Minamino,Monaco,408943,24,0.026380032300949097,False,RegularPlay,78.8810679624,35.29625000000001
4513835,Miss,#40547D,10249,Mousa Tamari,Montpellier,813055,25,0.029004637151956558,False,RegularPlay,96.50877192889999,18.674394906699998
4513835,AttemptSaved,#40547D,10249,Téji Savanier,Montpellier,179515,27,0.03131254017353058,False,FreeKick,78.7684466032,49.535796176199995
4513835,Miss,#40547D,10249,Issiaga Sylla,Montpellier,409193,30,0.02436857484281063,False,RegularPlay,80.4577669912,36.5925
